espnEventId,eventName,date,Tour,owgrEventId
218,Barclays Classic,"June 23 - 26, 2005",,
219,U.S. Open Championship,"June 16 - 19, 2005",MAJ,3329
220,FedEx St. Jude Classic,"May 26 - 29, 2005",,
221,Buick Championship,"August 25 - 28, 2005",,
222,Cialis Western Open,"June 30 - July 3, 2005",,
223,British Open Championship,"July 14 - 17, 2005",MAJ,3352
224,Southern Farm Bureau Classic,"November 3 - 6, 2005",,
225,Buick Open,"July 28 - 31, 2005",,
226,PGA Championship,"August 11 - 14, 2005",MAJ,3370
227,The INTERNATIONAL,"August 4 - 7, 2005",,
228,WGC-NEC Invitational,"August 18 - 21, 2005",,
229,U.S. Bank Championship in Milwaukee,"July 21 - 24, 2005",,
230,Bell Canadian Open,"September 8 - 11, 2005",,
231,John Deere Classic,"July 7 - 10, 2005",,
233,B.C. Open,"July 14 - 17, 2005",,
234,Michelin Championship at Las Vegas,"October 13 - 16, 2005",,
235,Valero Texas Open,"September 22 - 25, 2005",,
236,FUNAI Classic at the WALT DISNEY WORLD Resort,"October 20 - 23, 2005",,
237,THE TOUR Championship presented by Coca-Cola,"November 3 - 6, 2005",,
238,84 LUMBER Classic,"September 15 - 18, 2005",,
239,Chrysler Championship,"October 27 - 30, 2005",,
241,Reno-Tahoe Open,"August 18 - 21, 2005",,
242,WGC-American Express Championship,"October 6 - 9, 2005",,
243,Wachovia Championship,"May 5 - 8, 2005",,
244,Deutsche Bank Championship,"September 2 - 5, 2005",,
248,Mercedes Championships,"January 5 - 8, 2006",,
249,Chrysler Classic of Tucson,"February 23 - 26, 2006",,
251,FBR Open,"February 2 - 5, 2006",,
252,AT&T Pebble Beach National Pro-Am,"February 9 - 12, 2006",,
253,Buick Invitational,"January 26 - 29, 2006",,
254,Sony Open in Hawaii,"January 12 - 15, 2006",,
255,Nissan Open,"February 16 - 19, 2006",,
256,Ford Championship at Doral,"March 2 - 5, 2006",,
257,The Honda Classic,"March 9 - 12, 2006",,
258,Bay Hill Invitational Presented by MasterCard,"March 16 - 19, 2006",,
259,THE PLAYERS Championship,"March 23 - 26, 2006",,
260,BellSouth Classic,"March 30 - April 2, 2006",,
261,Masters Tournament,"April 6 - 9, 2006",MAJ,3494
262,Verizon Heritage,"April 13 - 16, 2006",,
263,Shell Houston Open,"April 20 - 23, 2006",,
264,EDS Byron Nelson Championship,"May 11 - 14, 2006",,
265,Bank of America Colonial,"May 18 - 21, 2006",,
266,Booz Allen Classic,"June 22 - 25, 2006",,
267,the Memorial Tournament,"June 1 - 4, 2006",,
268,Barclays Classic,"June 8 - 11, 2006",,
269,U.S. Open Championship,"June 15 - 18, 2006",MAJ,3542
270,FedEx St. Jude Classic,"May 25 - 28, 2006",,
271,Buick Championship,"June 29 - July 2, 2006",,
272,Cialis Western Open,"July 6 - 9, 2006",,
273,Buick Open,"August 3 - 6, 2006",,
274,PGA Championship,"August 17 - 20, 2006",MAJ,3589
275,The INTERNATIONAL,"August 10 - 13, 2006",,
276,U.S. Bank Championship in Milwaukee,"July 27 - 30, 2006",,
