"eventId","Week","Year","Tour","EventName","Winner","WinnerPts","playerId","WorldRating","HomeRating","FieldStrength"
5233,17,2013,"JPN","Tsuruya Open","Hideki Matsuyama",16,13562,18,14,32
5234,18,2013,"JPN","The Crowns","Michio Matsumura",16,12419,19,14,33
5235,20,2013,"JPN","PGA Championship Nissin Cupnoodles Cup","Hyungsung Kim",16,11131,28,21,49
5236,22,2013,"JPN","Diamond Cup Golf","Hideki Matsuyama",16,13562,21,16,37
5237,25,2013,"JPN","Japan Golf Tour Championship Shishido Hills","Satoshi Kodaira",18,13531,30,23,53
5238,26,2013,"JPN","Gate Way To The Open Mizuno Open","Brendan Jones",16,6254,25,19,44
5239,27,2013,"JPN","Nagashima Shigeo INVITATIONAL SEGA SAMMY Cup","Shunsuke Sonoda",16,12250,26,20,46
5240,34,2013,"JPN","Kansai Open Golf Championship","Brad Kennedy",16,6287,6,5,11
5241,35,2013,"JPN","Vana H Cup KBC Augusta","Sungjoon Park",16,14565,12,9,21
5242,36,2013,"JPN","Fujisankei Classic","Hideki Matsuyama",16,13562,25,19,44
5243,38,2013,"JPN","ANA Open","Koumei Oda",16,7940,24,18,42
5244,39,2013,"JPN"|"ASA","Asia-Pacific Panasonic Open","Masahiro Kawamura",16,13530,15,11,26
5245,40,2013,"JPN","Coca-Cola Tokai Classic","Shingo Katayama",16,3770,14,11,25
5246,41,2013,"JPN","TOSHIN GOLF TOURNAMENT","Yoshinori Fujimoto",16,11773,6,5,11
5247,42,2013,"JPN","Japan Open","Masanori Kobayashi",32,1599,12,9,21
5248,43,2013,"JPN","Bridgestone Open","Daisuke Maruyama",16,6018,14,11,25
5249,44,2013,"JPN","Mynavi ABC Championship","Yuta Ikeda",16,8236,13,10,23
5250,45,2013,"JPN","HEIWA PGM DREAM CUP IN KASUMIGAURA","Wu Ashun",16,11763,17,13,30
5251,46,2013,"JPN","Mitsui Sumitomo VISA Taiheiyo Masters","Hideto Tanihara",16,7046,28,21,49
5252,47,2013,"JPN","Dunlop Phoenix","Luke Donald",26,4163,66,50,116
5253,48,2013,"JPN","Casio World Open","Hideki Matsuyama",18,13562,34,26,60
5254,49,2013,"JPN","Golf Nippon Series JT Cup","Yusaku Miyazato",18,7031,29,22,51
5255,8,2013,"WEB","Panama Claro Championship","Kevin Foley",14,15812,,,
5256,9,2013,"WEB","Colombia Championship","Patrick Cantlay",14,15466,,,
5257,10,2013,"WEB","Chile Classic","Kevin Kisner",14,11328,1,1,2
5258,12,2013,"WEB","Chitimacha Louisiana Open","Edward Loar",14,6938,1,1,2
5259,14,2013,"WEB","Brazil Champions Presented by HSBC","Benjamin Alvarado",14,12547,,,
5260,15,2013,"WEB","WNB Golf Classic","Alex Aragon",14,7623,1,1,2
5261,17,2013,"WEB","South Georgia Classic Presented by First State Bank and Trust Company","Will Wilcox",14,14696,2,2,4
5262,18,2013,"WEB","Stadion Classic at UGA","Brendon Todd",14,12425,1,1,2
5263,20,2013,"WEB","BMW Charity Pro-Am Presented by SYNNEX Corporation","Mark Anderson",14,12131,1,1,2
5264,21,2013,"WEB","Mexico Championship Presented by Banamex","Michael Putnam",14,10180,,,
5265,22,2013,"WEB","Mid-Atlantic Championship","Michael Putnam",14,10180,1,1,2
